ID,title,descr,stock,price,currency_code,category_ID,authors_ID,createdAt,createdBy,modifiedAt,modifiedBy
714025b7-eaa6-406f-9912-e325b4ae434c,title-714025,descr-714025,77,2468350.97,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2008-09-27T00:00:00.000Z,createdBy.fay1@example.net,2002-12-14T00:00:00.000Z,modifiedBy.fay1@example.org
71402607-b2b5-4320-90d3-8a0ce2ab992a,title-714026,descr-714026,48,9718053.72,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2019-02-13T00:00:00.000Z,createdBy.fay2@example.net,2003-03-25T00:00:00.000Z,modifiedBy.fay2@example.net
714027bd-33b8-42ab-b478-9fee4ffd62fe,title-714027,descr-714027,16,4582617.52,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2018-09-15T00:00:00.000Z,createdBy.fay3@example.org,2007-03-16T00:00:00.000Z,modifiedBy.fay3@example.com
71402810-827c-43d5-ac39-b10baa932bd7,title-714028,descr-714028,16,9652489.41,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2012-06-28T00:00:00.000Z,createdBy.fay4@example.net,2015-01-28T00:00:00.000Z,modifiedBy.fay4@example.org
7140294b-7a54-4c35-9b6d-f5530356f14c,title-714029,descr-714029,87,4610454.84,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2020-11-20T00:00:00.000Z,createdBy.fay5@example.org,2000-03-31T00:00:00.000Z,modifiedBy.fay5@example.com
714030a7-404f-492c-a59c-e9afdf3d9e06,title-714030,descr-714030,85,3502201.74,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2008-07-03T00:00:00.000Z,createdBy.fay6@example.net,2017-07-26T00:00:00.000Z,modifiedBy.fay6@example.com
71403151-f8cb-4c05-9c60-9c42ba8a5bf5,title-714031,descr-714031,95,3076608.29,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2020-10-05T00:00:00.000Z,createdBy.fay7@example.org,2001-03-27T00:00:00.000Z,modifiedBy.fay7@example.com
7140325e-7abe-4712-a40f-24179c64cc6b,title-714032,descr-714032,45,1656199.67,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2005-05-22T00:00:00.000Z,createdBy.fay8@example.org,2014-08-15T00:00:00.000Z,modifiedBy.fay8@example.net
7140337d-c909-4e5f-9bc2-904c8312c738,title-714033,descr-714033,100,8662826.14,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2012-12-20T00:00:00.000Z,createdBy.fay9@example.org,2019-12-03T00:00:00.000Z,modifiedBy.fay9@example.com
71403423-0f76-490a-b96c-a85ffbdd387d,title-714034,descr-714034,79,5185080.35,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2017-07-30T00:00:00.000Z,createdBy.faya@example.net,2003-04-07T00:00:00.000Z,modifiedBy.faya@example.org
82181523-1892-4f31-99ac-e8eeb2090ce3,title-8218152,descr-8218152,85,5309098.74,976,19029960-85c8-4d71-9bf1-2ddf7caeac06,26820129-12ae-4acc-b69c-67be7ac7abc5,2003-10-31T00:00:00.000Z,createdBy.4w560@example.net,2020-08-04T00:00:00.000Z,modifiedBy.4w560@example.net
